siteID,xcoord,ycoord,EvalStatus,AdjWgt_km,CSCI
Site_1,378999.8006,3780135.389,Target - Surveyed,3.595024878,0.304924596
Site_2,326905.4512,3787593.923,Target - Surveyed,3.021801942,0.522382366
Site_3,320168.4392,3773938.001,Target - Surveyed,0.615009202,1.075971803
Site_4,340188.8252,3773955.184,Target - Surveyed,0.795386775,0.729279532
Site_5,382123.5626,3779415.41,Target - Surveyed,3.595024878,0.595858368
Site_6,343432.6409,3782812.143,Target - Surveyed,0.666055833,0.738234485
Site_7,335916.9873,3776237.484,Target - Surveyed,0.663072067,0.627379426
Site_8,332037.053,3772385.841,Target - Surveyed,0.615009202,0.908790959
Site_9,318662.165,3770698.199,Target - Surveyed,0.615009202,0.787017628
Site_10,342018.7756,3775000.132,Target - Surveyed,0.606574156,0.669481804
Site_11,348875.2574,3770089.836,Target - Surveyed,0.615009202,1.116754587
Site_12,338417.9362,3767708.777,Target - Surveyed,0.615009202,0.97835763
Site_13,328545.8779,3772762.06,Target - Surveyed,0.615009202,0.820598009
Site_14,343034.2682,3770624.777,Target - Surveyed,0.311941435,0.841892342
Site_15,329349.2838,3769937.115,Target - Surveyed,0.615009202,0.641042929
Site_16,343578.6627,3780460.884,Target - Surveyed,0.659550081,0.357048831
Site_17,358382.8975,3780556.101,Target - Surveyed,5.626944773,0.686240789
Site_18,341177.8045,3774361.889,Target - Surveyed,0.795386775,0.604122906
Site_19,360953.7254,3770253.563,Target - Surveyed,0.615009202,0.999637309
Site_20,326143.6647,3783897.443,Target - Surveyed,2.433848433,0.662443142
Site_21,337156.167,3783245.504,Target - Surveyed,0.527528716,0.515924231
Site_22,334963.6125,3784036.011,Target - Surveyed,0.527528716,0.735903944
Site_23,338637.7674,3779363.698,Target - Surveyed,0.65364223,0.428265381
Site_24,325181.9872,3787426.732,Target - Surveyed,8.13186878,0.941535175
Site_25,326429.1639,3787569.994,Target - Surveyed,3.021801942,0.709151159
Site_26,338185.0342,3777961.297,Target - Surveyed,0.606574156,0.531260106
Site_27,324160.6766,3785256.457,Target - Surveyed,3.289689132,0.793161948
Site_28,354015.4135,3767830.329,Target - Surveyed,0.748703463,1.001889098
Site_29,324228.4819,3784515.086,Target - Surveyed,3.404069656,0.709844496
Site_30,337870.6616,3780959.79,Target - Surveyed,0.527528716,0.556605933
Site_31,353562.1599,3770457.868,Target - Surveyed,0.748703463,0.987736842
Site_32,338168.0496,3779468.055,Target - Surveyed,0.527528716,0.387435889
Site_33,334773.077,3777081.392,Target - Surveyed,0.54679717,0.446491657
Site_34,354014.5103,3769318.795,Target - Surveyed,0.748703463,0.958996999
Site_35,346384.9822,3773999.595,Target - Surveyed,0.666055833,1.185298038
Site_36,344011.0901,3768920.818,Target - Surveyed,0.795386775,0.636472476
Site_37,342467.4118,3777366.069,Target - Surveyed,0.606574156,0.779505773
Site_38,329574.5686,3769117.992,Target - Surveyed,0.615009202,0.864390814
Site_39,321719.8272,3771196.65,Target - Surveyed,0.748703463,1.097872396
Site_40,337784.168,3781051.248,Target - Surveyed,0.527528716,0.231849561
Site_41,341710.8515,3774434.455,Target - Surveyed,0.606574156,0.764655247
Site_42,342869.434,3771824.881,Target - Surveyed,0.795386775,0.744592982
Site_43,343180.1782,3779282.901,Target - Surveyed,0.659550081,0.486168159
Site_44,346151.257,3774114.445,Target - Surveyed,0.666055833,1.04791012
Site_45,342474.9658,3770971.097,Target - Surveyed,0.795386775,0.605998737
Site_46,338327.422,3777458.989,Target - Surveyed,0.606574156,0.467261028
Site_47,338030.9778,3777961.395,Target - Surveyed,0.606574156,0.63242713
Site_48,342109.0677,3775388.314,Target - Surveyed,0.606574156,0.705841305
Site_49,343499.1483,3780082.827,Target - Surveyed,0.606574156,0.575259617
Site_50,334947.2985,3781001.215,Target - Surveyed,0.65364223,0.671199731
Site_51,337440.6462,3782640.426,Target - Surveyed,0.527528716,0.538077547
Site_52,342602.3818,3777526.324,Target - Surveyed,0.606574156,0.555189059
Site_53,344253.9117,3768488.631,Target - Surveyed,0.795386775,0.706223731
Site_54,342380.3972,3776935.01,Target - Surveyed,0.606574156,0.606394049
Site_55,337582.074,3781726.994,Target - Surveyed,0.65364223,0.593133964
Site_56,341575.5659,3774214.868,Target - Surveyed,0.606574156,0.738054858
Site_57,337432.7832,3782905.472,Target - Surveyed,0.527528716,0.482034248
Site_58,342919.0798,3778919.191,Target - Surveyed,0.659550081,0.618119371
Site_59,337971.9278,3778700.335,Target - Surveyed,0.659550081,0.562488453
Site_60,337633.1992,3782268.465,Target - Surveyed,0.527528716,0.415687568
Site_61,341057.6996,3774572.684,Target - Surveyed,0.795386775,0.6458663
Site_62,343280.2222,3781008.188,Target - Surveyed,0.659550081,0.515439342
Site_63,335083.683,3781962.627,Target - Surveyed,0.65364223,0.597131831
Site_64,342640.5187,3778245.953,Target - Surveyed,0.606574156,0.778501898
Site_65,342360.7749,3772633.942,Target - Surveyed,0.311941435,0.818219995
